CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
2402140,77,71,1-77-2024-071-NM1,21,1,99,113.21347390618,9,9
2400148,79,6,1-79-2024-006-09,9,1,2,134.548153434236,8,9
2405435,66,105,1-66-2024-105-08,8,1,1,134.761595455619,6,9
2404439,66,90,1-66-2024-090-03,3,1,2,90.2108501600037,6,9
2404868,22,146,1-22-2024-146-07,7,1,9,197.739270609814,12,9
2405458,25,146,1-25-2024-146-03,3,1,99,50.2410261946928,2,9
2401854,66,43,1-66-2024-043-10,10,1,1,242.389498710963,6,9
2401903,73,59,1-73-2024-059-02,2,1,1,31.8497733664116,3,9
2405813,25,157,1-25-2024-157-10,10,1,3,3935.61438961131,2,9
2405243,25,140,1-25-2024-140-03,3,1,1,86.4115838760651,2,9
2402687,19,35,1-19-2024-035-05,5,1,1,51.8841213437829,9,9
2401236,48,43,1-48-2024-043-08,8,1,9,104.372049299083,12,9
2402902,12,48,1-12-2024-048-02,2,1,1,228.584675358371,9,9
2404845,52,48,1-52-2024-048-03,3,1,99,163.738317035802,12,9
2403961,33,71,1-33-2024-071-03,3,1,10,17.2161737549189,12,9
2404035,66,82,1-66-2024-082-06,6,1,1,124.972344097308,6,9
2400125,66,3,1-66-2024-003-03,3,1,1,79.4686416678806,6,9
2400546,81,15,1-81-2024-015-09,9,1,9,10746.2349441596,8,9
2400766,12,16,1-12-2024-016-08,8,1,10,453.341827207528,9,9
2404553,48,148,1-48-2024-148-07,7,1,10,103.361334065564,12,9
2404184,77,137,1-77-2024-137-04,4,1,99,1331.89082639484,9,9
2402561,54,64,1-54-2024-064-10,10,1,6,446.109905627319,9,9
2403912,21,82,1-21-2024-082-01,1,1,9,117.649349567078,11,9
2401256,18,48,1-18-2024-048-03,3,1,10,45.4141790035401,6,9
2400995,82,26,1-82-2024-026-04,4,1,3,358.918120939719,1,9
2402916,59,93,1-59-2024-093-04,4,2,7,187.064544442781,6,9
2401724,22,52,1-22-2024-052-NM2,22,1,2,30.6635507189318,12,9
2404071,48,130,1-48-2024-130-06,6,1,10,420.915271729304,12,9
2406278,11,189,1-11-2024-189-03,3,1,1,337.618780570381,8,9
2401747,59,57,1-59-2024-057-09,9,1,7,544.058692708323,6,9
2401108,18,41,1-18-2024-041-07,7,1,9,726.729956937561,6,9
2403501,28,103,1-28-2024-103-09,9,1,1,42.1140871339499,3,9
2403931,52,42,1-52-2024-042-04,4,1,10,253.578816658525,12,9
2401177,52,15,1-52-2024-015-09,9,1,5,308.439233897572,12,9
2402434,30,83,1-30-2024-083-NM2,22,1,10,361.666104097377,10,9
2404758,22,144,1-22-2024-144-06,6,1,5,83.3531700651186,12,9
2404426,12,83,1-12-2024-083-07,7,1,9,1361.49270117535,9,9
2402150,59,69,1-59-2024-069-09,9,1,9,179.442682313889,6,9
2401154,24,25,1-24-2024-025-06,6,2,7,116.94575801916,1,9
2404781,10,89,1-10-2024-089-04,4,1,9,842.377586011299,4,9
2403547,62,96,1-62-2024-096-02,2,1,1,27.4104501869369,7,9
2402557,73,77,1-73-2024-077-09,9,1,1,37.2128206324797,3,9
2401893,18,67,1-18-2024-067-06,6,1,3,256.576748444126,6,9
2403198,33,54,1-33-2024-054-NM1,21,1,10,55.7364737376608,12,9
2403524,21,72,1-21-2024-072-NM1,21,1,9,9.710167648307,11,9
2403006,26,89,1-26-2024-089-03,3,1,99,282.561730241079,10,9
2406178,76,186,1-76-2024-186-02,2,1,1,69.290638741677,3,9
2401183,22,34,1-22-2024-034-NM2,22,1,10,24.4305122731702,12,9
2401578,18,59,1-18-2024-059-09,9,1,1,363.748138569445,6,9
2401037,25,25,1-25-2024-025-09,9,2,8,483.612196811158,2,9
2405021,62,148,1-62-2024-148-02,2,1,1,40.5230025519482,7,9
2402365,82,57,1-82-2024-057-03,3,1,1,157.899502135521,1,9
2404898,59,142,1-59-2024-142-03,3,1,10,36.1342171260839,6,9
2403722,28,114,1-28-2024-114-07,7,1,1,44.330330715033,3,9
2404718,28,144,1-28-2024-144-06,6,1,1,44.5186799027896,3,9
2401801,14,29,1-14-2024-029-03,3,1,3,228.862516808655,8,9
2403284,59,105,1-59-2024-105-04,4,1,2,177.015010442225,6,9
2404065,73,114,1-73-2024-114-02,2,1,3,31.8497733664116,3,9
2404409,48,144,1-48-2024-144-07,7,1,10,320.637738411807,12,9
2406332,66,124,1-66-2024-124-07,7,1,1,133.367571576148,6,9
2403035,81,67,1-81-2024-067-07,7,1,10,4486.82633832714,8,9
2404466,28,137,1-28-2024-137-04,4,1,9,47.851485985308,3,9
2404472,52,46,1-52-2024-046-03,3,1,99,474.51953142531,12,9
2404217,66,85,1-66-2024-085-03,3,1,3,79.4686416678806,6,9
2403825,52,40,1-52-2024-040-04,4,2,9,190.197325229234,12,9
2401515,73,49,1-73-2024-049-09,9,1,1,104.13258287305,3,9
2401171,27,39,1-27-2024-039-02,2,1,3,16.0023432140122,3,9
2404420,18,117,1-18-2024-117-01,1,1,8,63.8166126674341,6,9
2405992,76,178,1-76-2024-178-10,10,1,1,654.899657959584,3,9
2403135,26,94,1-26-2024-094-03,3,1,10,146.032571117139,10,9
2402803,54,74,1-54-2024-074-10,10,1,8,743.516509378865,9,9
2400124,66,2,1-66-2024-002-04,4,1,2,114.973892842,6,9
2401784,12,32,1-12-2024-032-06,6,1,5,558.459080550855,9,9
2403587,69,78,1-69-2024-078-05,5,1,99,8.16798412113843,8,9
2405508,59,163,1-59-2024-163-02,2,1,99,48.7900687173874,6,9
2406052,19,90,1-19-2024-090-02,2,1,8,45.0884525586451,9,9
2400954,59,32,1-59-2024-032-07,7,1,1,1121.12083244465,6,9
2404606,66,93,1-66-2024-093-07,7,1,10,456.257481707874,6,9
2400407,29,7,1-29-2024-007-04,4,1,3,3101.68332155677,2,9
2403845,11,116,1-11-2024-116-04,4,1,1,530.793567452246,8,9
2401595,66,36,1-66-2024-036-09,9,1,9,97.5596917228585,6,9
2401781,30,59,1-30-2024-059-05,5,1,4,20.1359424598253,10,9
2404486,26,110,1-26-2024-110-05,5,1,1,336.483872205798,10,9
2405296,19,74,1-19-2024-074-09,9,1,9,803.524783167018,9,9
2403204,17,101,1-17-2024-101-06,6,1,1,349.164684359284,4,9
2405860,21,143,1-21-2024-143-03,3,1,1,591.415698550646,11,9
2405147,48,168,1-48-2024-168-10,10,1,9,234.818157575356,12,9
2404649,29,68,1-29-2024-068-03,3,1,6,576.552709834615,2,9
2401993,22,59,1-22-2024-059-07,7,1,7,77.3544414610742,12,9
2403347,24,93,1-24-2024-093-05,5,1,10,24.2721053029394,1,9
2400768,17,22,1-17-2024-022-07,7,1,1,334.329957078067,4,9
2401260,17,41,1-17-2024-041-07,7,1,9,243.718011272748,4,9
2404847,28,151,1-28-2024-151-07,7,1,6,44.330330715033,3,9
2405339,27,167,1-27-2024-167-09,9,1,3,190.105427667502,3,9
2403939,62,110,1-62-2024-110-02,2,1,9,27.4104501869369,7,9
2403224,76,85,1-76-2024-085-04,4,1,99,159.257021770113,3,9
2405133,81,129,1-81-2024-129-05,5,1,3,118.464453728865,8,9
2405133,81,129,1-81-2024-129-05,5,1,5,118.464453728865,8,9
2404137,22,124,1-22-2024-124-06,6,1,3,70.32612198018,12,9
2403069,69,59,1-69-2024-059-01,1,1,1,7.66811372485411,8,9
2401446,22,42,1-22-2024-042-06,6,1,10,36.9156947743252,12,9
2400911,66,18,1-66-2024-018-04,4,1,1,114.973892842,6,9
2400413,15,15,1-15-2024-015-03,3,1,1,14.5436393843836,1,9
2401695,66,38,1-66-2024-038-10,10,1,1,242.389498710963,6,9
2405323,11,159,1-11-2024-159-09,9,1,10,1362.81724767285,8,9
2405086,66,99,1-66-2024-099-06,6,1,3,172.523827899835,6,9
2403308,48,109,1-48-2024-109-06,6,1,1,93.2394399188157,12,9
2404304,33,80,1-33-2024-080-09,9,1,9,187.781585730197,12,9
2401791,20,51,1-20-2024-051-04,4,1,3,238.680467959212,11,9
2405286,79,101,1-79-2024-101-09,9,1,4,2059.78125642757,8,9
2401399,24,32,1-24-2024-032-03,3,1,10,45.4386068459632,1,9
2405727,27,177,1-27-2024-177-03,3,1,10,15.4192274038201,3,9
2404104,11,125,1-11-2024-125-10,10,1,9,9825.60230602596,8,9
2403849,62,106,1-62-2024-106-NM1,21,1,2,41.0383325582026,7,9
2405378,30,183,1-30-2024-183-03,3,1,8,200.251916084177,10,9
2404539,23,43,1-23-2024-043-08,8,1,10,321.815573903179,5,9
2406113,69,157,1-69-2024-157-03,3,1,10,30.8763495381706,8,9
2400460,20,9,1-20-2024-009-10,10,1,9,4482.88774982948,11,9
2405621,76,162,1-76-2024-162-07,7,1,9,833.706847866869,3,9
2403764,28,115,1-28-2024-115-10,10,1,1,187.992842110574,3,9
2401440,26,37,1-26-2024-037-06,6,1,6,468.146518591354,10,9
2403123,26,90,1-26-2024-090-06,6,1,99,454.400298946999,10,9
2403455,12,59,1-12-2024-059-06,6,1,3,481.477047572144,9,9
2405115,21,120,1-21-2024-120-05,5,1,1,22.3979516230092,11,9
2402791,81,57,1-81-2024-057-02,2,2,10,22.2702980877148,8,9
2404142,54,99,1-54-2024-099-09,9,1,1,260.857597244036,9,9
2402553,14,42,1-14-2024-042-04,4,1,99,528.191248764713,8,9
2404311,19,58,1-19-2024-058-NM1,21,1,1,58.1964149408969,9,9
2404311,19,58,1-19-2024-058-NM1,21,1,10,58.1964149408969,9,9
2405470,31,117,1-31-2024-117-05,5,1,1,223.697137607501,6,9
2401866,77,65,1-77-2024-065-08,8,1,9,206.918069773792,9,9
2405161,77,164,1-77-2024-164-05,5,1,6,90.6570748528622,9,9
2405925,79,115,1-79-2024-115-05,5,1,9,121.577378642075,8,9
2401016,24,22,1-24-2024-022-NM1,21,1,99,81.6170730667138,1,9
2401603,82,38,1-82-2024-038-03,3,1,2,106.104530068342,1,9
2403695,17,116,1-17-2024-116-02,2,1,9,95.1292066667208,4,9
2404574,17,146,1-17-2024-146-06,6,1,1,124.923558977053,4,9
2401697,66,40,1-66-2024-040-10,10,1,1,242.389498710963,6,9
2400369,57,8,1-57-2024-008-08,8,1,10,73.1668973237709,1,9
2405238,22,161,1-22-2024-161-NM2,22,1,2,45.2877985053891,12,9
2402559,73,79,1-73-2024-079-06,6,1,9,37.0946854309253,3,9
2405808,24,161,1-24-2024-161-09,9,1,9,436.850323051849,1,9
2406372,18,157,1-18-2024-157-06,6,1,10,92.770740395174,6,9
2401085,77,38,1-77-2024-038-NM2,22,1,2,297.636915073691,9,9
2401208,77,41,1-77-2024-041-06,6,1,9,808.070771802769,9,9
2402536,11,69,1-11-2024-069-05,5,1,3,31.8812723055547,8,9
2405831,11,176,1-11-2024-176-05,5,2,2,31.8812723055547,8,9
2403094,25,77,1-25-2024-077-06,6,1,9,148.110752596866,2,9
2401766,73,55,1-73-2024-055-03,3,2,10,23.5881329232141,3,9
2401517,73,51,1-73-2024-051-04,4,1,3,64.3960375902502,3,9
2404422,33,84,1-33-2024-084-NM1,21,1,3,41.0900179301514,12,9
2405617,21,137,1-21-2024-137-05,5,1,1,31.6080006612922,11,9
2406072,25,169,1-25-2024-169-07,7,1,10,1211.5761298272,2,9
2402628,28,79,1-28-2024-079-06,6,1,99,44.5186799027896,3,9
2401881,54,45,1-54-2024-045-09,9,1,1,117.274582131211,9,9
2405966,25,164,1-25-2024-164-06,6,1,10,353.939350416704,2,9
2405972,21,146,1-21-2024-146-NM1,21,1,1,9.08918343004306,11,9
2405972,21,146,1-21-2024-146-NM1,21,1,5,9.08918343004306,11,9
2404200,67,29,1-67-2024-029-04,4,5,10,955.458116107281,7,9
2402428,57,50,1-57-2024-050-05,5,1,10,36.8561902184078,1,9
2405425,12,105,1-12-2024-105-03,3,1,10,164.057323491007,9,9
2404570,12,85,1-12-2024-085-09,9,1,5,458.0123440807,9,9
2404238,22,125,1-22-2024-125-07,7,1,2,241.077756730755,12,9
2404238,22,125,1-22-2024-125-07,7,1,4,241.077756730755,12,9
2404238,22,125,1-22-2024-125-07,7,1,7,241.077756730755,12,9
2400325,12,10,1-12-2024-010-02,2,1,1,221.517683883591,9,9
2401415,76,35,1-76-2024-035-08,8,1,1,75.1501837907099,3,9
2404593,16,116,1-16-2024-116-02,2,1,9,19.2002472242785,5,9
2400279,77,9,1-77-2024-009-08,8,1,3,102.349519441103,9,9
2402935,23,40,1-23-2024-040-02,2,1,3,90.7214867361438,5,9
2404192,18,112,1-18-2024-112-02,2,2,99,46.7280335632617,6,9
2401461,73,47,1-73-2024-047-07,7,2,1,83.6823530605529,3,9
2402580,66,59,1-66-2024-059-06,6,1,2,204.29526374419,6,9
2402248,22,66,1-22-2024-066-06,6,1,1,25.2675524846257,12,9
2402457,20,70,1-20-2024-070-06,6,1,1,230.868654194168,11,9
2400820,81,20,1-81-2024-020-NM1,21,1,9,29.8109810103183,8,9
2405729,82,163,1-82-2024-163-NM2,22,1,2,2077.73112331519,1,9
2403050,48,99,1-48-2024-099-05,5,1,6,80.9035530796695,12,9
2403837,29,45,1-29-2024-045-03,3,1,99,90.2007455037807,2,9
2406376,20,151,1-20-2024-151-NM2,22,1,10,1093.0659222961,11,9
2404501,31,94,1-31-2024-094-04,4,1,9,222.052598299916,6,9
2402835,79,61,1-79-2024-061-09,9,1,9,117.957752270952,8,9
2405165,57,155,1-57-2024-155-06,6,1,10,391.005792237184,1,9
2404355,12,80,1-12-2024-080-06,6,1,8,951.513440369114,9,9
2405683,19,82,1-19-2024-082-04,4,1,9,268.390724600306,9,9
2403545,59,111,1-59-2024-111-04,4,1,9,322.615967734063,6,9
2403668,48,119,1-48-2024-119-04,4,1,1,107.826502919194,12,9
2406201,15,240,1-15-2024-240-03,3,2,3,12.8685765153933,1,9
2402463,24,60,1-24-2024-060-05,5,1,99,24.2721053029394,1,9
2402217,28,63,1-28-2024-063-03,3,1,1,28.3089754479373,3,9
2404332,28,133,1-28-2024-133-09,9,1,9,34.7771381559099,3,9
2403236,31,66,1-31-2024-066-03,3,1,9,151.964719784207,6,9
2402062,20,59,1-20-2024-059-07,7,1,9,1371.4721415387,11,9
2406247,18,155,1-18-2024-155-08,8,1,1,66.5662168606509,6,9
2400296,18,8,1-18-2024-008-06,6,2,9,66.0930169005829,6,9
2403282,59,103,1-59-2024-103-02,2,1,6,48.7900687173874,6,9
2405689,12,109,1-12-2024-109-06,6,1,3,257.996460650317,9,9
2405357,21,127,1-21-2024-127-02,2,1,1,9.63819602034845,11,9
2404756,15,183,1-15-2024-183-04,4,1,10,58.4198767720656,1,9
2403488,16,101,1-16-2024-101-05,5,1,8,29.4570842219458,5,9
2404505,76,132,1-76-2024-132-04,4,1,7,192.634488866632,3,9
2402098,32,76,1-32-2024-076-02,2,1,2,5.84186321476011,7,9
2400770,17,24,1-17-2024-024-09,9,1,9,311.398354328333,4,9
2402785,59,85,1-59-2024-085-05,5,1,7,53.1907731759788,6,9
2402785,59,85,1-59-2024-085-05,5,1,8,53.1907731759788,6,9
2405656,18,137,1-18-2024-137-03,3,3,9,194.042863004502,6,9
2402052,81,43,1-81-2024-043-04,4,1,3,1903.54654592811,8,9
2400638,19,13,1-19-2024-013-07,7,1,1,907.714709607439,9,9
2404079,12,75,1-12-2024-075-07,7,1,10,604.062221579509,9,9
2400784,26,15,1-26-2024-015-05,5,1,8,37.7123897005153,10,9
2400329,30,10,1-30-2024-010-03,3,1,3,147.061529949055,10,9
2401079,59,34,1-59-2024-034-02,2,1,1,48.7900687173874,6,9
2401325,66,27,1-66-2024-027-04,4,1,7,114.973892842,6,9
2402751,82,68,1-82-2024-068-06,6,2,99,159.693073582709,1,9
2403340,17,105,1-17-2024-105-03,3,1,3,63.7311016265517,4,9
2403340,17,105,1-17-2024-105-03,3,1,10,63.7311016265517,4,9
2405006,29,80,1-29-2024-080-04,4,1,6,163.218801757203,2,9
2403578,30,128,1-30-2024-128-03,3,1,10,205.548230199915,10,9
2402250,22,67,1-22-2024-067-10,10,1,9,455.580038803207,12,9
2405748,10,117,1-10-2024-117-03,3,1,99,113.722882193099,4,9
2404906,77,155,1-77-2024-155-NM1,21,1,7,113.21347390618,9,9
2401812,24,43,1-24-2024-043-NM1,21,1,3,23.1726143074507,1,9
2401812,24,43,1-24-2024-043-NM1,21,1,4,23.1726143074507,1,9
2403286,81,74,1-81-2024-074-02,2,1,9,19.0849903848337,8,9
2403827,28,116,1-28-2024-116-03,3,1,9,59.3520019457149,3,9
2400876,24,17,1-24-2024-017-03,3,1,1,28.7833246640805,1,9
2401958,32,72,1-32-2024-072-05,5,1,1,42.3463129791254,7,9
2400335,11,6,1-11-2024-006-03,3,1,99,84.2498727782102,8,9
2404013,28,126,1-28-2024-126-09,9,1,1,84.0814352883391,3,9
2406171,24,171,1-24-2024-171-03,3,1,99,128.24108545593,1,9
2403160,11,89,1-11-2024-089-04,4,1,1,292.515838449788,8,9
2405152,62,155,1-62-2024-155-04,4,1,9,1753.50005308033,7,9
2401949,28,56,1-28-2024-056-04,4,1,1,47.851485985308,3,9
2401617,59,53,1-59-2024-053-04,4,1,1,267.139823960724,6,9
2403466,66,73,1-66-2024-073-10,10,1,3,2134.23953615003,6,9
2402639,82,64,1-82-2024-064-03,3,1,8,140.978923511683,1,9
2401806,16,50,1-16-2024-050-10,10,1,3,14369.5040655811,5,9
2403538,81,81,1-81-2024-081-05,5,1,3,27.4895135360166,8,9
2403870,12,67,1-12-2024-067-10,10,1,9,8209.53170960713,9,9
2401165,28,29,1-28-2024-029-10,10,1,7,80.5683609045318,3,9
2402284,54,57,1-54-2024-057-08,8,1,1,161.994257211147,9,9
2401188,76,31,1-76-2024-031-06,6,1,1,69.290638741677,3,9
2405338,27,166,1-27-2024-166-NM1,21,1,10,21.5359551258335,3,9
2404769,77,153,1-77-2024-153-09,9,1,9,12242.3665920591,9,9
2405361,26,122,1-26-2024-122-04,4,1,7,2863.19192439954,10,9
2402141,77,72,1-77-2024-072-08,8,1,9,641.186205980175,9,9
2403372,66,70,1-66-2024-070-08,8,1,1,134.761595455619,6,9
2403987,79,82,1-79-2024-082-03,3,1,9,177.82939435799,8,9
2403011,82,74,1-82-2024-074-03,3,2,99,147.436886414065,1,9
2403731,31,76,1-31-2024-076-03,3,1,1,151.964719784207,6,9
2401075,66,20,1-66-2024-020-10,10,2,99,242.389498710963,6,9
2401816,28,52,1-28-2024-052-09,9,2,99,35.1195291082184,3,9
2403831,15,153,1-15-2024-153-02,2,1,1,13.160978448786,1,9
2400874,11,21,1-11-2024-021-06,6,1,10,166.913722361013,8,9
2406382,52,64,1-52-2024-064-02,2,1,10,23.7948925221775,12,9
2403190,67,13,1-67-2024-013-06,6,1,10,1631.38147749848,7,9
2403436,73,97,1-73-2024-097-08,8,1,4,119.342550330643,3,9
2401613,77,56,1-77-2024-056-05,5,1,1,90.6570748528622,9,9
2401862,30,62,1-30-2024-062-NM2,22,1,10,511.59271785067,10,9
2405008,22,153,1-22-2024-153-03,3,1,8,28.3765658017979,12,9
2403562,48,116,1-48-2024-116-08,8,1,1,96.1411607504999,12,9
2404060,48,129,1-48-2024-129-05,5,1,3,80.9035530796695,12,9
2401902,73,58,1-73-2024-058-NM1,21,1,6,34.5788324725448,3,9
2401902,73,58,1-73-2024-058-NM1,21,1,9,34.5788324725448,3,9
2404724,27,146,1-27-2024-146-03,3,2,9,12.6103689545478,3,9
2405981,22,179,1-22-2024-179-06,6,1,10,104.526575629748,12,9
2403419,77,115,1-77-2024-115-05,5,1,6,143.029350117903,9,9
2403966,12,72,1-12-2024-072-04,4,1,3,852.936405009971,9,9
2405128,21,121,1-21-2024-121-03,3,1,3,148.195347517749,11,9
2404581,24,128,1-24-2024-128-07,7,1,9,1138.83188436001,1,9
2400929,22,24,1-22-2024-024-09,9,1,8,38.1287781911826,12,9
2402852,11,80,1-11-2024-080-04,4,1,99,630.031575937947,8,9
2401853,66,42,1-66-2024-042-09,9,1,9,97.5596917228585,6,9
2404438,66,89,1-66-2024-089-03,3,1,10,90.2108501600037,6,9
2404438,66,89,1-66-2024-089-03,3,2,4,90.2108501600037,6,9
2404607,26,111,1-26-2024-111-NM1,21,1,9,76.6867213232,10,9
2403256,79,69,1-79-2024-069-06,6,1,3,120.772111910736,8,9
2403797,20,100,1-20-2024-100-09,9,1,10,1836.75702736119,11,9
2402211,25,54,1-25-2024-054-03,3,1,1,72.4488725969622,2,9
2405248,31,111,1-31-2024-111-04,4,1,9,222.052598299916,6,9
2403399,22,102,1-22-2024-102-02,2,1,1,25.2675524846257,12,9
2402901,12,47,1-12-2024-047-02,2,1,1,228.584675358371,9,9
2401235,48,42,1-48-2024-042-05,5,1,1,80.9035530796695,12,9
2401335,77,46,1-77-2024-046-09,9,1,6,1115.38810302438,9,9
2404601,77,147,1-77-2024-147-10,10,1,1,257.957670739438,9,9
2402686,19,34,1-19-2024-034-01,1,1,1,55.53584624788,9,9
2405265,59,154,1-59-2024-154-04,4,1,9,407.870337563103,6,9
2403250,82,82,1-82-2024-082-10,10,1,99,6068.75490629749,1,9
2400594,33,7,1-33-2024-007-09,9,1,1,461.610101044979,12,9
2403568,18,98,1-18-2024-098-05,5,1,7,50.9427492020977,6,9
2401149,33,18,1-33-2024-018-03,3,1,99,27.3329411219541,12,9
2402809,18,85,1-18-2024-085-06,6,1,10,458.423668559883,6,9
2405726,27,176,1-27-2024-176-07,7,2,99,352.3606808973,3,9
