CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,TRAJCLASS,TRAJTYPE,TRAJCONF,EVIDSPEED,EVIDBRAKE,EVIDSTEERING,EVIDFRP,EVIDSTATURE,EVIDVEHPROFILE,EVIDCORNER,EVIDINITORIENT,EVIDAVOID,EVIDVIDEO,EVIDWITNESS,EVIDEXPERIMENT,EVIDSIM,EVIDOTHER,CASEWGT,PSUSTRAT,VERSION
2402288,81,46,1-81-2024-046-NM2,22,1,2,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2408.08347527868,8,9
2402288,81,46,1-81-2024-046-NM2,22,2,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2408.08347527868,8,9
2402288,81,46,1-81-2024-046-NM2,22,2,2,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2408.08347527868,8,9
2401435,32,53,1-32-2024-053-NM1,21,1,1,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17.0813061121433,7,9
2405677,69,143,1-69-2024-143-NM1,21,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66811372485411,8,9
2405677,69,143,1-69-2024-143-NM1,21,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66811372485411,8,9
2405677,69,143,1-69-2024-143-NM1,21,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66811372485411,8,9
2405677,69,143,1-69-2024-143-NM1,21,2,2,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.66811372485411,8,9
2405728,82,162,1-82-2024-162-NM1,21,1,1,99,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4374322287382,1,9
2402972,11,82,1-11-2024-082-NM1,21,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.1071357763572,8,9
2404887,17,158,1-17-2024-158-NM2,22,1,1,6,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,62.2469031035836,4,9
2401592,28,42,1-28-2024-042-NM2,22,1,1,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,37.9334438090452,3,9
2401592,28,42,1-28-2024-042-NM2,22,1,2,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,37.9334438090452,3,9
2405428,20,129,1-20-2024-129-NM1,21,1,1,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,35.0220589332575,11,9
2405428,20,129,1-20-2024-129-NM1,21,1,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35.0220589332575,11,9
2401297,27,43,1-27-2024-043-NM1,21,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,20.2398432682456,3,9
2403218,16,96,1-16-2024-096-NM1,21,1,1,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,19.3635256654646,5,9
2403550,77,119,1-77-2024-119-NM1,21,1,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,113.21347390618,9,9
