CASEID,PSU,CASENO,CASENUMBER,CATEGORY,NMNO,CONFLICTNO,EVENTNO,VEHNO,CONFPLANE,CASEWGT,PSUSTRAT,VERSION
2402307,30,81,1-30-2024-081-NM1,21,1,2,1,1,10,70.0679338170937,10,9
2402376,15,92,1-15-2024-092-NM2,22,1,1,1,1,3,172.627983004139,1,9
2402376,15,92,1-15-2024-092-NM2,22,1,2,1,1,10,172.627983004139,1,9
2402168,48,72,1-48-2024-072-NM2,22,1,2,1,1,10,76.3842355060005,12,9
2402256,21,45,1-21-2024-045-NM1,21,1,2,2,1,10,17.4486412062215,11,9
2402260,26,63,1-26-2024-063-NM2,22,1,2,1,1,10,962.578555188656,10,9
2402267,31,43,1-31-2024-043-NM2,22,1,2,1,1,10,197.377933176122,6,9
2400111,16,3,1-16-2024-003-NM2,22,1,2,1,1,10,1277.06637139415,5,9
2400514,15,18,1-15-2024-018-NM2,22,1,2,1,1,10,48.0070740321826,1,9
2400625,60,9,1-60-2024-009-NM1,21,1,4,1,1,10,140.53984277194,8,9
2400830,77,27,1-77-2024-027-NM2,22,1,2,1,1,10,330.223105550016,9,9
2400118,69,3,1-69-2024-003-NM1,21,1,1,1,1,1,7.66811372485411,8,9
2400118,69,3,1-69-2024-003-NM1,21,1,2,2,1,5,7.66811372485411,8,9
2400118,69,3,1-69-2024-003-NM1,21,1,3,1,1,6,7.66811372485411,8,9
2400118,69,3,1-69-2024-003-NM1,21,1,4,1,1,10,7.66811372485411,8,9
2400118,69,3,1-69-2024-003-NM1,21,1,5,2,1,7,7.66811372485411,8,9
2402288,81,46,1-81-2024-046-NM2,22,1,1,1,1,1,2408.08347527868,8,9
2402288,81,46,1-81-2024-046-NM2,22,2,1,2,1,1,2408.08347527868,8,9
2402288,81,46,1-81-2024-046-NM2,22,2,2,2,1,10,2408.08347527868,8,9
2400652,22,18,1-22-2024-018-NM2,22,1,2,1,1,10,29.4805146666259,12,9
2400960,57,19,1-57-2024-019-NM1,21,1,1,2,2,3,15.0398443849994,1,9
2400960,57,19,1-57-2024-019-NM1,21,1,2,2,2,10,15.0398443849994,1,9
2402288,81,46,1-81-2024-046-NM2,22,1,2,1,1,2,2408.08347527868,8,9
2402288,81,46,1-81-2024-046-NM2,22,1,3,1,1,10,2408.08347527868,8,9
2402210,25,53,1-25-2024-053-NM2,22,1,1,1,1,1,202.399293704263,2,9
2402210,25,53,1-25-2024-053-NM2,22,1,2,1,1,5,202.399293704263,2,9
2402210,25,53,1-25-2024-053-NM2,22,1,3,1,1,10,202.399293704263,2,9
2402754,26,79,1-26-2024-079-NM2,22,1,1,1,1,4,1030.55932741376,10,9
2402754,26,79,1-26-2024-079-NM2,22,1,2,1,1,10,1030.55932741376,10,9
2403378,16,98,1-16-2024-098-NM1,21,1,1,1,1,1,23.4984908001716,5,9
2403378,16,98,1-16-2024-098-NM1,21,1,2,1,1,5,23.4984908001716,5,9
2403378,16,98,1-16-2024-098-NM1,21,1,3,1,1,10,23.4984908001716,5,9
2402228,27,70,1-27-2024-070-NM2,22,1,1,1,1,1,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,2,1,1,5,30.6673615919684,3,9
2402228,27,70,1-27-2024-070-NM2,22,1,3,1,1,10,30.6673615919684,3,9
2402995,27,96,1-27-2024-096-NM2,22,1,2,1,1,10,45.5428338265018,3,9
2404374,29,60,1-29-2024-060-NM1,21,1,1,1,1,1,40.3751173333703,2,9
2404374,29,60,1-29-2024-060-NM1,21,1,2,1,1,5,40.3751173333703,2,9
2404374,29,60,1-29-2024-060-NM1,21,1,3,1,1,6,40.3751173333703,2,9
2404592,11,140,1-11-2024-140-NM1,21,1,1,1,1,1,37.1071357763572,8,9
2404592,11,140,1-11-2024-140-NM1,21,1,2,1,1,5,37.1071357763572,8,9
2404592,11,140,1-11-2024-140-NM1,21,1,3,1,1,6,37.1071357763572,8,9
2404592,11,140,1-11-2024-140-NM1,21,1,4,1,1,10,37.1071357763572,8,9
2404273,81,103,1-81-2024-103-NM1,21,1,1,3,1,7,34.7221032435964,8,9
2404273,81,103,1-81-2024-103-NM1,21,1,2,3,1,10,34.7221032435964,8,9
2402767,27,90,1-27-2024-090-NM2,22,1,2,1,1,10,33.2945661482558,3,9
2404587,25,122,1-25-2024-122-NM2,22,1,1,1,1,3,117.391789482128,2,9
2404587,25,122,1-25-2024-122-NM2,22,1,2,1,1,10,117.391789482128,2,9
2404569,18,121,1-18-2024-121-NM2,22,1,1,1,1,1,142.413843051628,6,9
2404569,18,121,1-18-2024-121-NM2,22,1,2,1,1,10,142.413843051628,6,9
2402198,11,55,1-11-2024-055-NM1,21,1,1,3,1,3,37.1071357763572,8,9
2402198,11,55,1-11-2024-055-NM1,21,1,2,3,1,6,37.1071357763572,8,9
2404652,30,158,1-30-2024-158-NM2,22,1,1,1,1,1,415.467981801604,10,9
2404652,30,158,1-30-2024-158-NM2,22,1,2,1,1,10,415.467981801604,10,9
2403772,81,91,1-81-2024-091-NM1,21,1,1,1,1,1,42.9814225528816,8,9
2402543,25,60,1-25-2024-060-NM1,21,1,4,1,1,3,46.3961698932894,2,9
2404706,11,142,1-11-2024-142-NM1,21,1,1,1,1,1,37.1071357763572,8,9
2404706,11,142,1-11-2024-142-NM1,21,1,2,1,1,5,37.1071357763572,8,9
2404706,11,142,1-11-2024-142-NM1,21,1,3,1,1,6,37.1071357763572,8,9
2404706,11,142,1-11-2024-142-NM1,21,1,4,1,1,3,37.1071357763572,8,9
2404706,11,142,1-11-2024-142-NM1,21,1,5,1,1,7,37.1071357763572,8,9
2404755,22,143,1-22-2024-143-NM2,22,1,1,1,1,3,85.2845477308788,12,9
2404755,22,143,1-22-2024-143-NM2,22,1,2,1,1,10,85.2845477308788,12,9
2404650,82,126,1-82-2024-126-NM2,22,1,1,1,1,1,272.240647923415,1,9
2404650,82,126,1-82-2024-126-NM2,22,1,2,1,1,10,272.240647923415,1,9
2404607,26,111,1-26-2024-111-NM1,21,1,1,2,1,1,76.6867213232,10,9
2404607,26,111,1-26-2024-111-NM1,21,1,2,2,1,5,76.6867213232,10,9
2404607,26,111,1-26-2024-111-NM1,21,1,3,2,1,6,76.6867213232,10,9
2404607,26,111,1-26-2024-111-NM1,21,1,4,2,1,10,76.6867213232,10,9
2404711,25,125,1-25-2024-125-NM1,21,1,1,1,1,1,55.4169403670828,2,9
2404711,25,125,1-25-2024-125-NM1,21,1,2,1,1,5,55.4169403670828,2,9
2404711,25,125,1-25-2024-125-NM1,21,1,3,1,1,10,55.4169403670828,2,9
2404276,81,106,1-81-2024-106-NM1,21,1,1,1,1,1,34.7221032435964,8,9
2404276,81,106,1-81-2024-106-NM1,21,1,2,1,1,5,34.7221032435964,8,9
2404276,81,106,1-81-2024-106-NM1,21,1,3,1,1,6,34.7221032435964,8,9
2404276,81,106,1-81-2024-106-NM1,21,1,4,1,1,10,34.7221032435964,8,9
2404422,33,84,1-33-2024-084-NM1,21,1,1,2,1,1,41.0900179301514,12,9
2404422,33,84,1-33-2024-084-NM1,21,1,2,2,1,6,41.0900179301514,12,9
2404422,33,84,1-33-2024-084-NM1,21,1,3,2,1,10,41.0900179301514,12,9
2404449,11,136,1-11-2024-136-NM1,21,1,1,1,1,1,37.1071357763572,8,9
2404449,11,136,1-11-2024-136-NM1,21,1,2,1,1,5,37.1071357763572,8,9
2404449,11,136,1-11-2024-136-NM1,21,1,3,1,1,6,37.1071357763572,8,9
2404760,32,138,1-32-2024-138-NM1,21,1,1,1,1,1,41.8806863445024,7,9
2404760,32,138,1-32-2024-138-NM1,21,1,3,1,1,6,41.8806863445024,7,9
2404760,32,138,1-32-2024-138-NM1,21,1,4,1,1,3,41.8806863445024,7,9
2404760,32,138,1-32-2024-138-NM1,21,1,5,1,1,10,41.8806863445024,7,9
2404700,69,110,1-69-2024-110-NM1,21,1,1,1,1,1,7.66811372485411,8,9
2404700,69,110,1-69-2024-110-NM1,21,1,2,1,1,5,7.66811372485411,8,9
2404700,69,110,1-69-2024-110-NM1,21,1,3,1,1,10,7.66811372485411,8,9
2404760,32,138,1-32-2024-138-NM1,21,1,2,1,1,5,41.8806863445024,7,9
2404764,33,92,1-33-2024-092-NM2,22,1,1,1,1,1,355.828360472917,12,9
2404764,33,92,1-33-2024-092-NM2,22,1,2,1,1,10,355.828360472917,12,9
2404946,60,72,1-60-2024-072-NM1,21,1,1,1,1,1,43.22330010499,8,9
2404946,60,72,1-60-2024-072-NM1,21,1,2,1,1,5,43.22330010499,8,9
2404946,60,72,1-60-2024-072-NM1,21,1,3,1,1,6,43.22330010499,8,9
2404946,60,72,1-60-2024-072-NM1,21,1,4,1,1,10,43.22330010499,8,9
2404089,33,76,1-33-2024-076-NM2,22,1,1,1,1,1,228.732430580773,12,9
2404089,33,76,1-33-2024-076-NM2,22,1,2,1,1,6,228.732430580773,12,9
2404089,33,76,1-33-2024-076-NM2,22,1,3,2,2,7,228.732430580773,12,9
2404089,33,76,1-33-2024-076-NM2,22,1,4,1,1,10,228.732430580773,12,9
2404089,33,76,1-33-2024-076-NM2,22,1,5,2,2,10,228.732430580773,12,9
2404816,30,163,1-30-2024-163-NM2,22,1,1,1,1,2,814.767720332015,10,9
2402767,27,90,1-27-2024-090-NM2,22,1,1,1,1,4,33.2945661482558,3,9
2402767,27,90,1-27-2024-090-NM2,22,1,3,1,1,10,33.2945661482558,3,9
2402148,59,67,1-59-2024-067-NM1,21,1,1,1,1,1,62.3822922049643,6,9
2402148,59,67,1-59-2024-067-NM1,21,1,2,1,1,10,62.3822922049643,6,9
2402243,15,87,1-15-2024-087-NM2,22,1,1,1,1,2,35.7446223566179,1,9
2402243,15,87,1-15-2024-087-NM2,22,1,2,1,1,10,35.7446223566179,1,9
2402638,82,63,1-82-2024-063-NM2,22,1,1,1,1,2,317.115950685831,1,9
2402638,82,63,1-82-2024-063-NM2,22,1,2,1,1,10,317.115950685831,1,9
2400574,13,13,1-13-2024-013-NM1,21,1,1,1,1,1,16.3827604184312,7,9
2400574,13,13,1-13-2024-013-NM1,21,1,2,1,1,5,16.3827604184312,7,9
2400574,13,13,1-13-2024-013-NM1,21,1,3,1,1,6,16.3827604184312,7,9
2400574,13,13,1-13-2024-013-NM1,21,1,4,1,1,2,16.3827604184312,7,9
2400574,13,13,1-13-2024-013-NM1,21,1,5,1,1,10,16.3827604184312,7,9
2402304,30,78,1-30-2024-078-NM1,21,1,1,1,1,1,42.5560416047343,10,9
2402304,30,78,1-30-2024-078-NM1,21,1,2,1,1,2,42.5560416047343,10,9
2402304,30,78,1-30-2024-078-NM1,21,1,3,1,1,6,42.5560416047343,10,9
2401442,26,39,1-26-2024-039-NM1,21,1,2,2,2,10,25.7030205312635,10,9
2402161,62,56,1-62-2024-056-NM1,21,1,1,1,1,1,60.6701620601723,7,9
2402161,62,56,1-62-2024-056-NM1,21,1,2,1,1,5,60.6701620601723,7,9
2402161,62,56,1-62-2024-056-NM1,21,1,3,1,1,6,60.6701620601723,7,9
2402161,62,56,1-62-2024-056-NM1,21,1,4,1,1,10,60.6701620601723,7,9
2402153,81,44,1-81-2024-044-NM2,22,1,1,1,1,3,2513.96756463306,8,9
2402153,81,44,1-81-2024-044-NM2,22,1,2,1,1,10,2513.96756463306,8,9
2403191,12,53,1-12-2024-053-NM2,22,1,1,1,1,1,279.612696685556,9,9
2403191,12,53,1-12-2024-053-NM2,22,1,2,1,1,10,279.612696685556,9,9
2400677,11,17,1-11-2024-017-NM1,21,1,5,1,1,10,37.1071357763572,8,9
2402106,82,48,1-82-2024-048-NM2,22,1,1,1,1,1,217.855164636431,1,9
2402106,82,48,1-82-2024-048-NM2,22,1,2,1,1,10,217.855164636431,1,9
2402124,28,61,1-28-2024-061-NM2,22,1,1,1,1,1,37.9334438090452,3,9
2402124,28,61,1-28-2024-061-NM2,22,1,2,1,1,10,37.9334438090452,3,9
2403102,16,93,1-16-2024-093-NM2,22,1,1,1,1,3,346.176563309069,5,9
2403102,16,93,1-16-2024-093-NM2,22,1,2,1,1,5,346.176563309069,5,9
2402140,77,71,1-77-2024-071-NM1,21,1,1,1,1,1,113.21347390618,9,9
2402140,77,71,1-77-2024-071-NM1,21,1,2,1,1,10,113.21347390618,9,9
2403403,29,33,1-29-2024-033-NM2,22,1,1,1,1,1,717.115181555973,2,9
2403403,29,33,1-29-2024-033-NM2,22,1,2,1,1,10,717.115181555973,2,9
2402377,15,93,1-15-2024-093-NM2,22,1,1,1,1,1,172.627983004139,1,9
2402377,15,93,1-15-2024-093-NM2,22,1,2,1,1,10,172.627983004139,1,9
2402195,79,44,1-79-2024-044-NM2,22,1,1,1,1,3,110.555038236303,8,9
2402195,79,44,1-79-2024-044-NM2,22,1,2,1,1,10,110.555038236303,8,9
2400096,30,2,1-30-2024-002-NM1,21,1,2,1,1,10,33.6409129061174,10,9
2402083,24,50,1-24-2024-050-NM1,21,1,1,1,1,1,23.1726143074507,1,9
2402083,24,50,1-24-2024-050-NM1,21,1,2,1,1,5,23.1726143074507,1,9
2402083,24,50,1-24-2024-050-NM1,21,1,3,1,1,10,23.1726143074507,1,9
2402381,27,75,1-27-2024-075-NM2,22,1,1,1,1,3,58.8273813617497,3,9
2402381,27,75,1-27-2024-075-NM2,22,1,2,1,1,10,58.8273813617497,3,9
2402515,22,71,1-22-2024-071-NM2,22,1,1,1,1,1,85.2845477308788,12,9
2402515,22,71,1-22-2024-071-NM2,22,1,2,1,1,10,85.2845477308788,12,9
2403370,32,117,1-32-2024-117-NM1,21,1,1,2,1,1,24.6793297433215,7,9
2403370,32,117,1-32-2024-117-NM1,21,1,2,2,1,10,24.6793297433215,7,9
2402502,32,90,1-32-2024-090-NM1,21,1,1,1,1,1,20.533614820255,7,9
2402502,32,90,1-32-2024-090-NM1,21,1,2,1,1,10,20.533614820255,7,9
2401902,73,58,1-73-2024-058-NM1,21,1,1,1,1,6,34.5788324725448,3,9
2402420,48,79,1-48-2024-079-NM1,21,1,1,2,1,1,85.8427679861707,12,9
2402420,48,79,1-48-2024-079-NM1,21,1,2,2,1,5,85.8427679861707,12,9
2402420,48,79,1-48-2024-079-NM1,21,1,4,2,1,10,85.8427679861707,12,9
2401752,13,46,1-13-2024-046-NM2,22,1,1,1,1,4,2482.68938093394,7,9
2401752,13,46,1-13-2024-046-NM2,22,1,2,1,1,10,2482.68938093394,7,9
2402542,16,78,1-16-2024-078-NM1,21,1,1,1,1,1,21.9314980825962,5,9
2402542,16,78,1-16-2024-078-NM1,21,1,2,1,1,5,21.9314980825962,5,9
2402542,16,78,1-16-2024-078-NM1,21,1,3,1,1,6,21.9314980825962,5,9
2402542,16,78,1-16-2024-078-NM1,21,1,4,1,1,10,21.9314980825962,5,9
2401592,28,42,1-28-2024-042-NM2,22,1,1,1,1,1,37.9334438090452,3,9
2401592,28,42,1-28-2024-042-NM2,22,1,2,1,1,5,37.9334438090452,3,9
2401592,28,42,1-28-2024-042-NM2,22,1,3,1,1,10,37.9334438090452,3,9
2402625,21,52,1-21-2024-052-NM2,22,1,1,1,1,1,1946.80039165077,11,9
2402625,21,52,1-21-2024-052-NM2,22,1,2,1,1,5,1946.80039165077,11,9
2402625,21,52,1-21-2024-052-NM2,22,1,3,1,1,6,1946.80039165077,11,9
2402625,21,52,1-21-2024-052-NM2,22,1,4,1,1,3,1946.80039165077,11,9
2402625,21,52,1-21-2024-052-NM2,22,1,5,1,1,10,1946.80039165077,11,9
2402535,24,69,1-24-2024-069-NM1,21,1,1,2,1,1,23.1726143074507,1,9
2402535,24,69,1-24-2024-069-NM1,21,1,2,2,1,7,23.1726143074507,1,9
2402535,24,69,1-24-2024-069-NM1,21,1,3,2,1,10,23.1726143074507,1,9
2401812,24,43,1-24-2024-043-NM1,21,1,2,1,1,10,23.1726143074507,1,9
2402620,31,52,1-31-2024-052-NM2,22,1,1,1,1,1,197.377933176122,6,9
2402620,31,52,1-31-2024-052-NM2,22,1,2,1,1,5,197.377933176122,6,9
2402620,31,52,1-31-2024-052-NM2,22,1,3,1,1,10,197.377933176122,6,9
2402571,32,94,1-32-2024-094-NM1,21,1,1,1,1,1,27.5926066558606,7,9
2402571,32,94,1-32-2024-094-NM1,21,1,2,1,1,6,27.5926066558606,7,9
2402571,32,94,1-32-2024-094-NM1,21,1,3,1,1,3,27.5926066558606,7,9
2402571,32,94,1-32-2024-094-NM1,21,1,4,1,1,10,27.5926066558606,7,9
2402589,33,42,1-33-2024-042-NM2,22,1,1,1,1,1,361.093515754961,12,9
2402589,33,42,1-33-2024-042-NM2,22,1,2,1,1,10,361.093515754961,12,9
2402547,59,79,1-59-2024-079-NM1,21,1,1,1,1,1,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,2,1,1,5,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,3,1,1,6,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,4,1,1,2,62.3822922049643,6,9
2402547,59,79,1-59-2024-079-NM1,21,1,5,1,1,10,62.3822922049643,6,9
2403715,25,97,1-25-2024-097-NM2,22,1,1,1,1,1,209.921679437629,2,9
2403644,21,77,1-21-2024-077-NM2,22,1,1,1,1,1,1397.14293235216,11,9
2403644,21,77,1-21-2024-077-NM2,22,1,2,1,1,10,1397.14293235216,11,9
2402679,13,64,1-13-2024-064-NM1,21,1,1,1,1,1,52.9890988226477,7,9
2402679,13,64,1-13-2024-064-NM1,21,1,2,1,1,5,52.9890988226477,7,9
2402679,13,64,1-13-2024-064-NM1,21,1,3,1,1,10,52.9890988226477,7,9
2403218,16,96,1-16-2024-096-NM1,21,1,1,2,1,1,19.3635256654646,5,9
2404816,30,163,1-30-2024-163-NM2,22,1,2,1,1,10,814.767720332015,10,9
2404924,12,94,1-12-2024-094-NM1,21,1,1,1,1,1,263.286057296844,9,9
2404924,12,94,1-12-2024-094-NM1,21,1,2,1,1,5,263.286057296844,9,9
2404924,12,94,1-12-2024-094-NM1,21,1,3,1,1,6,263.286057296844,9,9
2404924,12,94,1-12-2024-094-NM1,21,1,4,1,1,3,263.286057296844,9,9
2404924,12,94,1-12-2024-094-NM1,21,1,5,1,1,10,263.286057296844,9,9
2404827,25,127,1-25-2024-127-NM1,21,1,1,3,1,1,46.3961698932894,2,9
2404827,25,127,1-25-2024-127-NM1,21,1,2,3,1,5,46.3961698932894,2,9
2404827,25,127,1-25-2024-127-NM1,21,1,3,3,1,10,46.3961698932894,2,9
2404825,24,135,1-24-2024-135-NM2,22,1,1,1,1,1,43.9956216097119,1,9
2404825,24,135,1-24-2024-135-NM2,22,1,2,1,1,10,43.9956216097119,1,9
2404828,25,128,1-25-2024-128-NM1,21,1,1,1,1,1,46.3961698932894,2,9
2404828,25,128,1-25-2024-128-NM1,21,1,2,1,1,5,46.3961698932894,2,9
2404828,25,128,1-25-2024-128-NM1,21,1,3,1,1,6,46.3961698932894,2,9
2404828,25,128,1-25-2024-128-NM1,21,1,4,1,1,10,46.3961698932894,2,9
2404887,17,158,1-17-2024-158-NM2,22,1,1,1,1,3,62.2469031035836,4,9
2404887,17,158,1-17-2024-158-NM2,22,1,2,1,1,10,62.2469031035836,4,9
2404902,57,145,1-57-2024-145-NM2,22,1,1,1,1,3,184.840196410829,1,9
2404902,57,145,1-57-2024-145-NM2,22,1,2,1,1,10,184.840196410829,1,9
2404933,33,96,1-33-2024-096-NM2,22,1,1,1,1,1,151.096542186302,12,9
2404933,33,96,1-33-2024-096-NM2,22,1,2,1,1,10,151.096542186302,12,9
2404955,16,122,1-16-2024-122-NM1,21,1,1,1,1,1,20.5106500164933,5,9
2404955,16,122,1-16-2024-122-NM1,21,1,2,1,1,5,20.5106500164933,5,9
2404955,16,122,1-16-2024-122-NM1,21,1,3,1,1,10,20.5106500164933,5,9
2401198,13,30,1-13-2024-030-NM2,22,2,2,2,1,5,1161.47481366351,7,9
2401198,13,30,1-13-2024-030-NM2,22,2,3,2,1,10,1161.47481366351,7,9
2404886,22,148,1-22-2024-148-NM2,22,1,1,1,1,1,35.1496027167127,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,2,1,1,2,35.1496027167127,12,9
2404886,22,148,1-22-2024-148-NM2,22,1,3,1,1,10,35.1496027167127,12,9
2405007,30,171,1-30-2024-171-NM2,22,1,1,1,1,1,699.896518115335,10,9
2405007,30,171,1-30-2024-171-NM2,22,1,2,1,1,10,699.896518115335,10,9
2405218,28,164,1-28-2024-164-NM2,22,1,1,1,1,2,142.962485684357,3,9
2404890,30,167,1-30-2024-167-NM2,22,1,1,1,1,1,814.767720370494,10,9
2404890,30,167,1-30-2024-167-NM2,22,1,2,1,1,5,814.767720370494,10,9
2404890,30,167,1-30-2024-167-NM2,22,1,3,1,1,10,814.767720370494,10,9
2404906,77,155,1-77-2024-155-NM1,21,1,1,1,1,1,113.21347390618,9,9
2404906,77,155,1-77-2024-155-NM1,21,1,2,1,1,5,113.21347390618,9,9
2404906,77,155,1-77-2024-155-NM1,21,1,3,1,1,6,113.21347390618,9,9
2404906,77,155,1-77-2024-155-NM1,21,1,4,1,1,10,113.21347390618,9,9
2403886,24,109,1-24-2024-109-NM1,21,1,5,2,2,7,23.1726143074507,1,9
2404970,20,120,1-20-2024-120-NM1,21,1,1,1,1,1,42.5846152120555,11,9
2404970,20,120,1-20-2024-120-NM1,21,1,2,1,1,10,42.5846152120555,11,9
2404943,24,137,1-24-2024-137-NM2,22,1,1,1,1,1,103.775968566411,1,9
